sentences,sent_tokens,topic,label_topic
"what a virulent attack!""","['virulent', 'attack']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"replied the prince, not in the least disconcerted by this reception.","['reply', 'prince', 'least', 'disconcert', 'reception']",7,say-prince-go-andrew-look-come-count-room-pierre
"he had just entered, wearing an embroidered court uniform, knee breeches, and shoes, and had stars on his breast and a serene expression on his flat face.","['enter', 'wear', 'embroider', 'court', 'uniform', 'knee', 'breeches', 'shoe', 'star', 'breast', 'serene', 'expression', 'flat', 'face']",7,say-prince-go-andrew-look-come-count-room-pierre
"he spoke in that refined french in which our grandfathers not only spoke but thought, and with the gentle, patronizing intonation natural to a man of importance who had grown old in society and at court.","['speak', 'refine', 'french', 'grandfathers', 'speak', 'think', 'gentle', 'patronize', 'intonation', 'natural', 'man', 'importance', 'grow', 'old', 'society', 'court']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"he went up to anna pavlovna, kissed her hand, presenting to her his bald, scented, and shining head, and complacently seated himself on the sofa.","['go', 'anna', 'pavlovna', 'kiss', 'hand', 'present', 'bald', 'scent', 'shin', 'head', 'complacently', 'seat', 'sofa']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""first of all, dear friend, tell me how you are.","['first', 'dear', 'friend', 'tell', 'be']",4,dont-say-know-ah-tell-be-dear-do-michael
"set your friend's mind at rest,"" said he without altering his tone, beneath the politeness and affected sympathy of which indifference and even irony could be discerned.","['set', 'friends', 'mind', 'rest', 'say', 'without', 'alter', 'tone', 'beneath', 'politeness', 'affect', 'sympathy', 'indifference', 'even', 'irony', 'could', 'discern']",8,prince-hand-know-say-hold-princess-book-leave-even
"""can one be well while suffering morally?","['well', 'suffer', 'morally']",4,dont-say-know-ah-tell-be-dear-do-michael
"can one be calm in times like these if one has any feeling?""","['calm', 'time', 'like', 'feel']",2,know-letter-father-man-pierre-see-princess-silent-say
said anna pavlovna.,"['say', 'anna', 'pavlovna']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""you are staying the whole evening, i hope?""","['stay', 'whole', 'even', 'hope']",2,know-letter-father-man-pierre-see-princess-silent-say
"""and the fete at the english ambassador's?","['fete', 'english', 'ambassadors']",8,prince-hand-know-say-hold-princess-book-leave-even
today is wednesday.,"['today', 'wednesday']",1,count-go-pierre-prince-come-know-look-well-let
"i must put in an appearance there,"" said the prince.","['must', 'put', 'appearance', 'say', 'prince']",7,say-prince-go-andrew-look-come-count-room-pierre
"""my daughter is coming for me to take me there.""","['daughter', 'come', 'take', 'there']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""i thought today's fete had been canceled.","['think', 'todays', 'fete', 'cancel']",1,count-go-pierre-prince-come-know-look-well-let
"i confess all these festivities and fireworks are becoming wearisome.""","['confess', 'festivities', 'fireworks', 'become', 'wearisome']",4,dont-say-know-ah-tell-be-dear-do-michael
"""if they had known that you wished it, the entertainment would have been put off,"" said the prince, who, like a wound-up clock, by force of habit said things he did not even wish to be believed.","['know', 'wish', 'entertainment', 'would', 'put', 'say', 'prince', 'like', 'woundup', 'clock', 'force', 'habit', 'say', 'things', 'even', 'wish', 'believe']",7,say-prince-go-andrew-look-come-count-room-pierre
"""don't tease!","['dont', 'tease']",4,dont-say-know-ah-tell-be-dear-do-michael
"well, and what has been decided about novosiltsev's dispatch?","['well', 'decide', 'novosiltsevs', 'dispatch']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"you know everything.""","['know', 'everything']",8,prince-hand-know-say-hold-princess-book-leave-even
"""what can one say about it?""","['say', 'it']",7,say-prince-go-andrew-look-come-count-room-pierre
"replied the prince in a cold, listless tone.","['reply', 'prince', 'cold', 'listless', 'tone']",7,say-prince-go-andrew-look-come-count-room-pierre
"""what has been decided?",['decide'],0,say-prince-nothing-pierre-look-please-smile-know-hand
"they have decided that buonaparte has burnt his boats, and i believe that we are ready to burn ours.""","['decide', 'buonaparte', 'burn', 'boat', 'believe', 'ready', 'burn', 'ours']",1,count-go-pierre-prince-come-know-look-well-let
"prince vasili always spoke languidly, like an actor repeating a stale part.","['prince', 'vasili', 'always', 'speak', 'languidly', 'like', 'actor', 'repeat', 'stale', 'part']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"anna pavlovna scherer on the contrary, despite her forty years, overflowed with animation and impulsiveness.","['anna', 'pavlovna', 'scherer', 'contrary', 'despite', 'forty', 'years', 'overflow', 'animation', 'impulsiveness']",8,prince-hand-know-say-hold-princess-book-leave-even
"to be an enthusiast had become her social vocation and, sometimes even when she did not feel like it, she became enthusiastic in order not to disappoint the expectations of those who knew her.","['enthusiast', 'become', 'social', 'vocation', 'sometimes', 'even', 'feel', 'like', 'become', 'enthusiastic', 'order', 'disappoint', 'expectations', 'know', 'her']",2,know-letter-father-man-pierre-see-princess-silent-say
"the subdued smile which, though it did not suit her faded features, always played round her lips expressed, as in a spoiled child, a continual consciousness of her charming defect, which she neither wished, nor could, nor considered it necessary, to correct.","['subdue', 'smile', 'though', 'suit', 'fade', 'feature', 'always', 'play', 'round', 'lips', 'express', 'spoil', 'child', 'continual', 'consciousness', 'charm', 'defect', 'neither', 'wish', 'could', 'consider', 'necessary', 'correct']",2,know-letter-father-man-pierre-see-princess-silent-say
"in the midst of a conversation on political matters anna pavlovna burst out: ""oh, don't speak to me of austria.","['midst', 'conversation', 'political', 'matter', 'anna', 'pavlovna', 'burst', 'oh', 'dont', 'speak', 'austria']",4,dont-say-know-ah-tell-be-dear-do-michael
"perhaps i don't understand things, but austria never has wished, and does not wish, for war.","['perhaps', 'dont', 'understand', 'things', 'austria', 'never', 'wish', 'wish', 'war']",4,dont-say-know-ah-tell-be-dear-do-michael
she is betraying us!,"['betray', 'us']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
russia alone must save europe.,"['russia', 'alone', 'must', 'save', 'europe']",0,say-prince-nothing-pierre-look-please-smile-know-hand
our gracious sovereign recognizes his high vocation and will be true to it.,"['gracious', 'sovereign', 'recognize', 'high', 'vocation', 'true', 'it']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
that is the one thing i have faith in!,"['thing', 'faith', 'in']",2,know-letter-father-man-pierre-see-princess-silent-say
"our good and wonderful sovereign has to perform the noblest role on earth, and he is so virtuous and noble that god will not forsake him.","['good', 'wonderful', 'sovereign', 'perform', 'noblest', 'role', 'earth', 'virtuous', 'noble', 'god', 'forsake', 'him']",8,prince-hand-know-say-hold-princess-book-leave-even
"he will fulfill his vocation and crush the hydra of revolution, which has become more terrible than ever in the person of this murderer and villain!","['fulfill', 'vocation', 'crush', 'hydra', 'revolution', 'become', 'terrible', 'ever', 'person', 'murderer', 'villain']",2,know-letter-father-man-pierre-see-princess-silent-say
"we alone must avenge the blood of the just one.... whom, i ask you, can we rely on?...","['alone', 'must', 'avenge', 'blood', 'ask', 'rely', 'on']",7,say-prince-go-andrew-look-come-count-room-pierre
england with her commercial spirit will not and cannot understand the emperor alexander's loftiness of soul.,"['england', 'commercial', 'spirit', 'cannot', 'understand', 'emperor', 'alexanders', 'loftiness', 'soul']",5,princess-mary-say-give-prince-look-dinner-man-face
she has refused to evacuate malta.,"['refuse', 'evacuate', 'malta']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"she wanted to find, and still seeks, some secret motive in our actions.","['want', 'find', 'still', 'seek', 'secret', 'motive', 'action']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
what answer did novosiltsev get?,"['answer', 'novosiltsev', 'get']",5,princess-mary-say-give-prince-look-dinner-man-face
none.,['none'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"the english have not understood and cannot understand the self-abnegation of our emperor who wants nothing for himself, but only desires the good of mankind.","['english', 'understand', 'cannot', 'understand', 'selfabnegation', 'emperor', 'want', 'nothing', 'desire', 'good', 'mankind']",8,prince-hand-know-say-hold-princess-book-leave-even
and what have they promised?,['promise'],0,say-prince-nothing-pierre-look-please-smile-know-hand
nothing!,['nothing'],0,say-prince-nothing-pierre-look-please-smile-know-hand
and what little they have promised they will not perform!,"['little', 'promise', 'perform']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"prussia has always declared that buonaparte is invincible, and that all europe is powerless before him.... and i don't believe a word that hardenburg says, or haugwitz either.","['prussia', 'always', 'declare', 'buonaparte', 'invincible', 'europe', 'powerless', 'dont', 'believe', 'word', 'hardenburg', 'say', 'haugwitz', 'either']",3,room-pierre-prince-draw-look-say-laugh-princess-little
this famous prussian neutrality is just a trap.,"['famous', 'prussian', 'neutrality', 'trap']",8,prince-hand-know-say-hold-princess-book-leave-even
i have faith only in god and the lofty destiny of our adored monarch.,"['faith', 'god', 'lofty', 'destiny', 'adore', 'monarch']",7,say-prince-go-andrew-look-come-count-room-pierre
"he will save europe!""","['save', 'europe']",7,say-prince-go-andrew-look-come-count-room-pierre
"she suddenly paused, smiling at her own impetuosity.","['suddenly', 'pause', 'smile', 'impetuosity']",1,count-go-pierre-prince-come-know-look-well-let
"""i think,"" said the prince with a smile, ""that if you had been sent instead of our dear wintzingerode you would have captured the king of prussia's consent by assault.","['think', 'say', 'prince', 'smile', 'send', 'instead', 'dear', 'wintzingerode', 'would', 'capture', 'king', 'prussias', 'consent', 'assault']",8,prince-hand-know-say-hold-princess-book-leave-even
you are so eloquent.,['eloquent'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"will you give me a cup of tea?""","['give', 'cup', 'tea']",8,prince-hand-know-say-hold-princess-book-leave-even
"""in a moment.",['moment'],2,know-letter-father-man-pierre-see-princess-silent-say
"a propos,"" she added, becoming calm again, ""i am expecting two very interesting men tonight, le vicomte de mortemart, who is connected with the montmorencys through the rohans, one of the best french families.","['propos', 'add', 'become', 'calm', 'expect', 'interest', 'men', 'tonight', 'le', 'vicomte', 'de', 'mortemart', 'connect', 'montmorencys', 'rohans', 'best', 'french', 'families']",7,say-prince-go-andrew-look-come-count-room-pierre
"he is one of the genuine emigres, the good ones.","['genuine', 'emigres', 'good', 'ones']",1,count-go-pierre-prince-come-know-look-well-let
and also the abbe morio.,"['abbe', 'morio']",5,princess-mary-say-give-prince-look-dinner-man-face
do you know that profound thinker?,"['know', 'profound', 'thinker']",1,count-go-pierre-prince-come-know-look-well-let
he has been received by the emperor.,"['receive', 'emperor']",5,princess-mary-say-give-prince-look-dinner-man-face
"had you heard?""",['hear'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"""i shall be delighted to meet them,"" said the prince.","['shall', 'delight', 'meet', 'say', 'prince']",7,say-prince-go-andrew-look-come-count-room-pierre
"""but tell me,"" he added with studied carelessness as if it had only just occurred to him, though the question he was about to ask was the chief motive of his visit, ""is it true that the dowager empress wants baron funke to be appointed first secretary at vienna?","['tell', 'add', 'study', 'carelessness', 'occur', 'though', 'question', 'ask', 'chief', 'motive', 'visit', 'true', 'dowager', 'empress', 'want', 'baron', 'funke', 'appoint', 'first', 'secretary', 'vienna']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"the baron by all accounts is a poor creature.""","['baron', 'account', 'poor', 'creature']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"prince vasili wished to obtain this post for his son, but others were trying through the dowager empress marya fedorovna to secure it for the baron.","['prince', 'vasili', 'wish', 'obtain', 'post', 'son', 'others', 'try', 'dowager', 'empress', 'marya', 'fedorovna', 'secure', 'baron']",8,prince-hand-know-say-hold-princess-book-leave-even
anna pavlovna almost closed her eyes to indicate that neither she nor anyone else had a right to criticize what the empress desired or was pleased with.,"['anna', 'pavlovna', 'almost', 'close', 'eye', 'indicate', 'neither', 'anyone', 'else', 'right', 'criticize', 'empress', 'desire', 'please', 'with']",2,know-letter-father-man-pierre-see-princess-silent-say
"""baron funke has been recommended to the dowager empress by her sister,"" was all she said, in a dry and mournful tone.","['baron', 'funke', 'recommend', 'dowager', 'empress', 'sister', 'say', 'dry', 'mournful', 'tone']",7,say-prince-go-andrew-look-come-count-room-pierre
"as she named the empress, anna pavlovna's face suddenly assumed an expression of profound and sincere devotion and respect mingled with sadness, and this occurred every time she mentioned her illustrious patroness.","['name', 'empress', 'anna', 'pavlovnas', 'face', 'suddenly', 'assume', 'expression', 'profound', 'sincere', 'devotion', 'respect', 'mingle', 'sadness', 'occur', 'every', 'time', 'mention', 'illustrious', 'patroness']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"she added that her majesty had deigned to show baron funke beaucoup d'estime, and again her face clouded over with sadness.","['add', 'majesty', 'deign', 'show', 'baron', 'funke', 'beaucoup', 'destime', 'face', 'cloud', 'sadness']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
the prince was silent and looked indifferent.,"['prince', 'silent', 'look', 'indifferent']",1,count-go-pierre-prince-come-know-look-well-let
"but, with the womanly and courtierlike quickness and tact habitual to her, anna pavlovna wished both to rebuke him (for daring to speak he had done of a man recommended to the empress) and at the same time to console him, so she said: ""now about your family.","['womanly', 'courtierlike', 'quickness', 'tact', 'habitual', 'anna', 'pavlovna', 'wish', 'rebuke', 'dare', 'speak', 'do', 'man', 'recommend', 'empress', 'time', 'console', 'say', 'family']",5,princess-mary-say-give-prince-look-dinner-man-face
do you know that since your daughter came out everyone has been enraptured by her?,"['know', 'since', 'daughter', 'come', 'everyone', 'enrapture', 'her']",4,dont-say-know-ah-tell-be-dear-do-michael
"they say she is amazingly beautiful.""","['say', 'amazingly', 'beautiful']",7,say-prince-go-andrew-look-come-count-room-pierre
the prince bowed to signify his respect and gratitude.,"['prince', 'bow', 'signify', 'respect', 'gratitude']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"""i often think,"" she continued after a short pause, drawing nearer to the prince and smiling amiably at him as if to show that political and social topics were ended and the time had come for intimate conversation--""i often think how unfairly sometimes the joys of life are distributed.","['often', 'think', 'continue', 'short', 'pause', 'draw', 'nearer', 'prince', 'smile', 'amiably', 'show', 'political', 'social', 'topics', 'end', 'time', 'come', 'intimate', 'conversationi', 'often', 'think', 'unfairly', 'sometimes', 'joy', 'life', 'distribute']",5,princess-mary-say-give-prince-look-dinner-man-face
why has fate given you two such splendid children?,"['fate', 'give', 'splendid', 'children']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"i don't speak of anatole, your youngest.","['dont', 'speak', 'anatole', 'youngest']",4,dont-say-know-ah-tell-be-dear-do-michael
"i don't like him,"" she added in a tone admitting of no rejoinder and raising her eyebrows.","['dont', 'like', 'add', 'tone', 'admit', 'rejoinder', 'raise', 'eyebrows']",7,say-prince-go-andrew-look-come-count-room-pierre
"""two such charming children.","['charm', 'children']",1,count-go-pierre-prince-come-know-look-well-let
"and really you appreciate them less than anyone, and so you don't deserve to have them.""","['really', 'appreciate', 'less', 'anyone', 'dont', 'deserve', 'them']",4,dont-say-know-ah-tell-be-dear-do-michael
and she smiled her ecstatic smile.,"['smile', 'ecstatic', 'smile']",4,dont-say-know-ah-tell-be-dear-do-michael
"""i can't help it,"" said the prince.","['cant', 'help', 'say', 'prince']",7,say-prince-go-andrew-look-come-count-room-pierre
"""lavater would have said i lack the bump of paternity.""","['lavater', 'would', 'say', 'lack', 'bump', 'paternity']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"""don't joke; i mean to have a serious talk with you.","['dont', 'joke', 'mean', 'serious', 'talk', 'you']",4,dont-say-know-ah-tell-be-dear-do-michael
do you know i am dissatisfied with your younger son?,"['know', 'dissatisfy', 'younger', 'son']",7,say-prince-go-andrew-look-come-count-room-pierre
"between ourselves"" (and her face assumed its melancholy expression), ""he was mentioned at her majesty's and you were pitied...."" the prince answered nothing, but she looked at him significantly, awaiting a reply.","['face', 'assume', 'melancholy', 'expression', 'mention', 'majestys', 'pity', 'prince', 'answer', 'nothing', 'look', 'significantly', 'await', 'reply']",1,count-go-pierre-prince-come-know-look-well-let
he frowned.,['frown'],1,count-go-pierre-prince-come-know-look-well-let
"""what would you have me do?""","['would', 'do']",4,dont-say-know-ah-tell-be-dear-do-michael
he said at last.,"['say', 'last']",7,say-prince-go-andrew-look-come-count-room-pierre
"""you know i did all a father could for their education, and they have both turned out fools.","['know', 'father', 'could', 'education', 'turn', 'fool']",2,know-letter-father-man-pierre-see-princess-silent-say
"hippolyte is at least a quiet fool, but anatole is an active one.","['hippolyte', 'least', 'quiet', 'fool', 'anatole', 'active', 'one']",7,say-prince-go-andrew-look-come-count-room-pierre
"that is the only difference between them.""","['difference', 'them']",2,know-letter-father-man-pierre-see-princess-silent-say
"he said this smiling in a way more natural and animated than usual, so that the wrinkles round his mouth very clearly revealed something unexpectedly coarse and unpleasant.","['say', 'smile', 'way', 'natural', 'animate', 'usual', 'wrinkle', 'round', 'mouth', 'clearly', 'reveal', 'something', 'unexpectedly', 'coarse', 'unpleasant']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""and why are children born to such men as you?","['children', 'bear', 'men', 'you']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"if you were not a father there would be nothing i could reproach you with,"" said anna pavlovna, looking up pensively.","['father', 'would', 'nothing', 'could', 'reproach', 'say', 'anna', 'pavlovna', 'look', 'pensively']",7,say-prince-go-andrew-look-come-count-room-pierre
"""i am your faithful slave and to you alone i can confess that my children are the bane of my life.","['faithful', 'slave', 'alone', 'confess', 'children', 'bane', 'life']",1,count-go-pierre-prince-come-know-look-well-let
it is the cross i have to bear.,"['cross', 'bear']",8,prince-hand-know-say-hold-princess-book-leave-even
that is how i explain it to myself.,"['explain', 'myself']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"it can't be helped!""","['cant', 'help']",7,say-prince-go-andrew-look-come-count-room-pierre
"he said no more, but expressed his resignation to cruel fate by a gesture.","['say', 'express', 'resignation', 'cruel', 'fate', 'gesture']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
anna pavlovna meditated.,"['anna', 'pavlovna', 'meditate']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""have you never thought of marrying your prodigal son anatole?""","['never', 'think', 'marry', 'prodigal', 'son', 'anatole']",7,say-prince-go-andrew-look-come-count-room-pierre
she asked.,['ask'],1,count-go-pierre-prince-come-know-look-well-let
"""they say old maids have a mania for matchmaking, and though i don't feel that weakness in myself as yet, i know a little person who is very unhappy with her father.","['say', 'old', 'maids', 'mania', 'matchmaking', 'though', 'dont', 'feel', 'weakness', 'know', 'little', 'person', 'unhappy', 'father']",5,princess-mary-say-give-prince-look-dinner-man-face
"she is a relation of yours, princess mary bolkonskaya.""","['relation', 'princess', 'mary', 'bolkonskaya']",5,princess-mary-say-give-prince-look-dinner-man-face
"prince vasili did not reply, though, with the quickness of memory and perception befitting a man of the world, he indicated by a movement of the head that he was considering this information.","['prince', 'vasili', 'reply', 'though', 'quickness', 'memory', 'perception', 'befit', 'man', 'world', 'indicate', 'movement', 'head', 'consider', 'information']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"""do you know,"" he said at last, evidently unable to check the sad current of his thoughts, ""that anatole is costing me forty thousand rubles a year?","['know', 'say', 'last', 'evidently', 'unable', 'check', 'sad', 'current', 'thoughts', 'anatole', 'cost', 'forty', 'thousand', 'rubles', 'year']",7,say-prince-go-andrew-look-come-count-room-pierre
"and,"" he went on after a pause, ""what will it be in five years, if he goes on like this?""","['go', 'pause', 'years', 'go', 'like', 'this']",1,count-go-pierre-prince-come-know-look-well-let
"presently he added: ""that's what we fathers have to put up with.... is this princess of yours rich?""","['presently', 'add', 'thats', 'father', 'put', 'princess', 'rich']",2,know-letter-father-man-pierre-see-princess-silent-say
"""her father is very rich and stingy.","['father', 'rich', 'stingy']",4,dont-say-know-ah-tell-be-dear-do-michael
he lives in the country.,"['live', 'country']",1,count-go-pierre-prince-come-know-look-well-let
"he is the well-known prince bolkonski who had to retire from the army under the late emperor, and was nicknamed 'the king of prussia.'","['wellknown', 'prince', 'bolkonski', 'retire', 'army', 'late', 'emperor', 'nickname', 'king', 'prussia']",8,prince-hand-know-say-hold-princess-book-leave-even
"he is very clever but eccentric, and a bore.","['clever', 'eccentric', 'bore']",5,princess-mary-say-give-prince-look-dinner-man-face
the poor girl is very unhappy.,"['poor', 'girl', 'unhappy']",5,princess-mary-say-give-prince-look-dinner-man-face
"she has a brother; i think you know him, he married lise meinen lately.","['brother', 'think', 'know', 'marry', 'lise', 'meinen', 'lately']",4,dont-say-know-ah-tell-be-dear-do-michael
"he is an aide-de-camp of kutuzov's and will be here tonight.""","['aidedecamp', 'kutuzovs', 'tonight']",2,know-letter-father-man-pierre-see-princess-silent-say
"""listen, dear annette,"" said the prince, suddenly taking anna pavlovna's hand and for some reason drawing it downwards.","['listen', 'dear', 'annette', 'say', 'prince', 'suddenly', 'take', 'anna', 'pavlovnas', 'hand', 'reason', 'draw', 'downwards']",8,prince-hand-know-say-hold-princess-book-leave-even
"""arrange that affair for me and i shall always be your most devoted slave- slafe with an f, as a village elder of mine writes in his reports.","['arrange', 'affair', 'shall', 'always', 'devote', 'slave', 'slafe', 'f', 'village', 'elder', 'mine', 'write', 'report']",4,dont-say-know-ah-tell-be-dear-do-michael
"she is rich and of good family and that's all i want.""","['rich', 'good', 'family', 'thats', 'want']",7,say-prince-go-andrew-look-come-count-room-pierre
"and with the familiarity and easy grace peculiar to him, he raised the maid of honor's hand to his lips, kissed it, and swung it to and fro as he lay back in his armchair, looking in another direction.","['familiarity', 'easy', 'grace', 'peculiar', 'raise', 'maid', 'honor', 'hand', 'lips', 'kiss', 'swing', 'fro', 'lay', 'back', 'armchair', 'look', 'another', 'direction']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"""attendez,"" said anna pavlovna, reflecting, ""i'll speak to lise, young bolkonski's wife, this very evening, and perhaps the thing can be arranged.","['attendez', 'say', 'anna', 'pavlovna', 'reflect', 'ill', 'speak', 'lise', 'young', 'bolkonskis', 'wife', 'even', 'perhaps', 'thing', 'arrange']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"it shall be on your family's behalf that i'll start my apprenticeship as old maid.""","['shall', 'familys', 'behalf', 'ill', 'start', 'apprenticeship', 'old', 'maid']",0,say-prince-nothing-pierre-look-please-smile-know-hand
chapter ii anna pavlovna's drawing room was gradually filling.,"['chapter', 'ii', 'anna', 'pavlovnas', 'draw', 'room', 'gradually', 'fill']",3,room-pierre-prince-draw-look-say-laugh-princess-little
the highest petersburg society was assembled there: people differing widely in age and character but alike in the social circle to which they belonged.,"['highest', 'petersburg', 'society', 'assemble', 'people', 'differ', 'widely', 'age', 'character', 'alike', 'social', 'circle', 'belong']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"prince vasili's daughter, the beautiful helene, came to take her father to the ambassador's entertainment; she wore a ball dress and her badge as maid of honor.","['prince', 'vasilis', 'daughter', 'beautiful', 'helene', 'come', 'take', 'father', 'ambassadors', 'entertainment', 'wear', 'ball', 'dress', 'badge', 'maid', 'honor']",7,say-prince-go-andrew-look-come-count-room-pierre
"the youthful little princess bolkonskaya, known as la femme la plus seduisante de petersbourg,* was also there.","['youthful', 'little', 'princess', 'bolkonskaya', 'know', 'la', 'femme', 'la', 'plus', 'seduisante', 'de', 'petersbourg', 'there']",1,count-go-pierre-prince-come-know-look-well-let
"she had been married during the previous winter, and being pregnant did not go to any large gatherings, but only to small receptions.","['marry', 'previous', 'winter', 'pregnant', 'go', 'large', 'gather', 'small', 'receptions']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"prince vasili's son, hippolyte, had come with mortemart, whom he introduced.","['prince', 'vasilis', 'son', 'hippolyte', 'come', 'mortemart', 'introduce']",7,say-prince-go-andrew-look-come-count-room-pierre
the abbe morio and many others had also come.,"['abbe', 'morio', 'many', 'others', 'come']",7,say-prince-go-andrew-look-come-count-room-pierre
the most fascinating woman in petersburg.,"['fascinate', 'woman', 'petersburg']",5,princess-mary-say-give-prince-look-dinner-man-face
"to each new arrival anna pavlovna said, ""you have not yet seen my aunt,"" or ""you do not know my aunt?""","['new', 'arrival', 'anna', 'pavlovna', 'say', 'see', 'aunt', 'know', 'aunt']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"and very gravely conducted him or her to a little old lady, wearing large bows of ribbon in her cap, who had come sailing in from another room as soon as the guests began to arrive; and slowly turning her eyes from the visitor to her aunt, anna pavlovna mentioned each one's name and then left them.","['gravely', 'conduct', 'little', 'old', 'lady', 'wear', 'large', 'bow', 'ribbon', 'cap', 'come', 'sail', 'another', 'room', 'soon', 'guests', 'begin', 'arrive', 'slowly', 'turn', 'eye', 'visitor', 'aunt', 'anna', 'pavlovna', 'mention', 'ones', 'name', 'leave', 'them']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"each visitor performed the ceremony of greeting this old aunt whom not one of them knew, not one of them wanted to know, and not one of them cared about; anna pavlovna observed these greetings with mournful and solemn interest and silent approval.","['visitor', 'perform', 'ceremony', 'greet', 'old', 'aunt', 'know', 'want', 'know', 'care', 'anna', 'pavlovna', 'observe', 'greet', 'mournful', 'solemn', 'interest', 'silent', 'approval']",2,know-letter-father-man-pierre-see-princess-silent-say
